FlightDate,Year,Month,DayOfWeek,Reporting_Airline,Origin,Dest,CRSDepTime,CRSArrTime,CRSElapsedTime,Distance,ArrDel15,Cancelled,Diverted,DepDelay,ArrDelay
2023-02-03,2023,2,5,WN,BOS,JFK,1916,2325,249,1901.6,0.0,0,0,-4.1,-4.9
2023-05-13,2023,5,6,UA,DFW,JFK,744,1208,264,2010.9,0.0,0,0,1.1,12.1
2023-06-18,2023,6,7,DL,DFW,SEA,933,1353,260,1860.5,1.0,0,0,10.0,13.9
2023-11-04,2023,11,6,UA,ORD,MIA,1738,1919,101,686.8,,1,0,,
2023-10-18,2023,10,3,B6,SEA,BOS,1716,2210,294,2113.4,1.0,0,0,7.6,17.3
2023-11-09,2023,11,4,WN,JFK,BOS,1633,2019,226,1658.6,0.0,0,0,2.3,2.8
2023-12-29,2023,12,5,AS,JFK,ORD,651,915,144,999.4,0.0,0,0,1.1,0.6
2023-06-02,2023,6,5,B6,LAX,ORD,506,633,87,659.8,0.0,0,0,0.4,6.0
2023-06-30,2023,6,5,UA,ATL,LAX,1041,1450,249,1753.6,0.0,0,0,-0.0,-5.2
2023-06-16,2023,6,5,AA,DEN,SEA,1915,2350,275,1972.9,0.0,0,0,2.2,-9.6
2023-09-21,2023,9,4,AA,BOS,SFO,827,1343,316,2413.5,0.0,0,0,6.0,6.1
2023-08-18,2023,8,5,DL,SEA,DFW,510,838,208,1454.9,0.0,0,0,-5.2,-10.6
2023-12-28,2023,12,4,WN,DFW,ATL,1517,1623,66,523.9,1.0,0,0,42.0,67.3
2023-06-11,2023,6,7,AS,LAX,SFO,1348,1608,140,979.6,1.0,0,0,30.8,34.1
2023-07-18,2023,7,2,DL,SFO,ORD,639,1100,261,1806.6,0.0,0,0,2.9,0.9
2023-12-22,2023,12,5,AA,JFK,ORD,1432,1723,171,1324.3,0.0,0,0,-0.1,0.6
2023-11-27,2023,11,1,AA,DEN,MIA,731,844,73,522.1,0.0,0,0,-1.2,-0.1
2023-02-12,2023,2,7,WN,ATL,DFW,1820,2238,258,1821.6,1.0,0,0,3.3,-5.6
2023-01-12,2023,1,4,DL,JFK,MIA,744,937,113,836.1,1.0,0,0,25.7,24.5
2023-07-02,2023,7,7,WN,ATL,LAX,510,718,128,857.3,0.0,0,0,-6.2,-14.0
2023-06-02,2023,6,5,AA,MIA,BOS,1705,2146,281,1881.7,0.0,0,0,-3.6,6.4
2023-07-05,2023,7,3,WN,ORD,DEN,1057,1634,337,2203.1,1.0,0,0,19.1,22.9
2023-01-03,2023,1,2,AS,SFO,LAX,2144,245,301,2167.5,1.0,0,0,9.3,6.1
2023-06-18,2023,6,7,AA,ATL,SFO,1555,2115,320,2369.5,0.0,0,0,-2.5,-14.6
2023-04-11,2023,4,2,UA,ORD,DFW,959,1442,283,2186.1,0.0,0,0,-0.3,15.5
2023-04-27,2023,4,4,AA,MIA,LAX,2135,2324,109,755.1,1.0,0,0,14.8,18.7
2023-10-31,2023,10,2,DL,ATL,SFO,1748,2046,178,1241.9,0.0,0,0,-0.4,0.8
2023-03-25,2023,3,6,AA,SFO,DEN,1216,1330,74,522.5,0.0,0,0,-0.7,5.1
2023-09-09,2023,9,6,DL,BOS,MIA,2114,307,353,2719.2,0.0,0,0,-2.5,-2.5
2023-04-28,2023,4,5,WN,MIA,DEN,1347,1642,175,1305.4,0.0,0,0,-0.4,15.4
2023-05-04,2023,5,4,UA,DFW,ATL,1026,1319,173,1302.5,0.0,0,0,6.7,18.1
2023-06-18,2023,6,7,WN,DEN,MIA,1612,2113,301,2197.0,0.0,0,0,-7.9,0.4
2023-07-03,2023,7,1,AS,MIA,LAX,1638,1806,88,667.8,1.0,0,0,3.9,1.8
2023-05-29,2023,5,1,WN,DFW,BOS,1955,138,343,2359.9,0.0,0,0,-5.3,5.9
2023-01-03,2023,1,2,WN,DFW,DEN,1443,1932,289,2225.0,0.0,0,0,1.0,-9.7
2023-09-21,2023,9,4,DL,DFW,SEA,1255,1747,292,2192.0,0.0,0,0,-0.6,-5.5
2023-07-14,2023,7,5,AA,ORD,LAX,705,1245,340,2433.3,0.0,0,0,-6.1,-2.5
2023-08-12,2023,8,6,UA,LAX,ATL,2200,235,275,2179.9,0.0,0,0,-12.0,2.8
2023-01-12,2023,1,4,B6,JFK,DFW,1343,1850,307,2131.5,0.0,0,0,0.6,4.8
2023-07-18,2023,7,2,DL,DEN,ATL,2041,2306,145,1124.5,0.0,0,0,-1.3,6.8
2023-09-06,2023,9,3,AS,JFK,BOS,927,1109,102,781.8,0.0,0,0,-3.3,-2.2
2023-02-27,2023,2,1,DL,BOS,SEA,1957,2208,131,1018.4,0.0,0,0,-1.0,9.7
2023-10-27,2023,10,5,AS,JFK,DFW,806,943,97,703.9,0.0,0,0,-5.0,-14.8
2023-01-20,2023,1,5,AA,ORD,JFK,1731,2325,354,2625.7,1.0,0,0,16.4,3.8
2023-05-31,2023,5,3,AA,ATL,JFK,822,1416,354,2544.5,0.0,0,0,-0.2,12.4
2023-07-17,2023,7,1,AA,ATL,SFO,1715,2129,254,2009.4,0.0,0,0,7.8,26.4
2023-12-22,2023,12,5,DL,ORD,MIA,1036,1344,188,1394.3,0.0,0,0,-9.9,-24.5
2023-08-08,2023,8,2,AA,JFK,MIA,1228,1550,202,1381.4,0.0,0,0,-3.4,0.1
2023-08-14,2023,8,1,AA,BOS,ORD,1411,1720,189,1406.0,0.0,0,0,-1.5,5.1
2023-11-07,2023,11,2,WN,SFO,SEA,1914,2148,154,1194.4,1.0,0,0,31.0,35.9
2023-01-29,2023,1,7,AA,ATL,SFO,843,1117,154,1172.6,,1,0,,
2023-06-09,2023,6,5,B6,MIA,SEA,1142,1328,106,784.5,0.0,0,0,10.1,15.6
2023-06-04,2023,6,7,AA,DEN,SEA,1745,2041,176,1313.2,,1,0,,
2023-09-04,2023,9,1,AA,SFO,SEA,742,931,109,845.2,0.0,0,0,4.7,5.2
2023-07-03,2023,7,1,UA,ATL,BOS,650,1136,286,2045.1,1.0,0,0,12.6,18.2
2023-08-19,2023,8,6,AA,ORD,LAX,1359,1754,235,1701.4,0.0,0,0,-0.8,-0.2
2023-05-29,2023,5,1,B6,BOS,DEN,643,932,169,1235.3,0.0,0,0,-0.5,17.8
2023-05-16,2023,5,2,WN,DEN,ATL,1507,2022,315,2208.4,1.0,0,0,17.2,21.9
2023-08-18,2023,8,5,WN,LAX,ATL,1118,1315,117,764.9,0.0,0,0,-9.2,-7.7
2023-06-01,2023,6,4,AA,LAX,BOS,1642,2236,354,2630.4,0.0,0,0,-14.0,-21.3
2023-08-16,2023,8,3,B6,MIA,DFW,730,1209,279,1997.7,0.0,0,0,-8.1,-4.1
2023-10-27,2023,10,5,B6,MIA,BOS,1100,1237,97,636.5,0.0,0,0,-0.8,-13.0
