iata,icao,station_id,timezone,latitude,longitude
ATL,KATL,72219013874,America/New_York,33.6407,-84.4277
BOS,KBOS,72509014739,America/New_York,42.3656,-71.0096
CLT,KCLT,72314013881,America/New_York,35.2140,-80.9431
DEN,KDEN,72565003017,America/Denver,39.8561,-104.6737
DFW,KDFW,72259003927,America/Chicago,32.8998,-97.0403
EWR,KEWR,72502014734,America/New_York,40.6895,-74.1745
IAD,KIAD,72403093738,America/New_York,38.9531,-77.4565
IAH,KIAH,72243012960,America/Chicago,29.9902,-95.3368
JFK,KJFK,74486094789,America/New_York,40.6413,-73.7781
LAS,KLAS,72386023169,America/Los_Angeles,36.0840,-115.1537
LAX,KLAX,72295023174,America/Los_Angeles,33.9416,-118.4085
MCO,KMCO,72205012815,America/New_York,28.4312,-81.3081
MIA,KMIA,72202012839,America/New_York,25.7959,-80.2870
MSP,KMSP,72658014922,America/Chicago,44.8848,-93.2223
ORD,KORD,72530094846,America/Chicago,41.9742,-87.9073
PHL,KPHL,72408013739,America/New_York,39.8744,-75.2424
PHX,KPHX,72278023183,America/Phoenix,33.4342,-112.0116
SEA,KSEA,72793024233,America/Los_Angeles,47.4502,-122.3088
SFO,KSFO,72494023234,America/Los_Angeles,37.6213,-122.3790
SLC,KSLC,72572024127,America/Denver,40.7899,-111.9791
