iata,timezone
ABE,America/New_York
ABI,America/Chicago
ABQ,America/Denver
ACK,America/New_York
ACT,America/Chicago
ACY,America/New_York
ADQ,America/Anchorage
AEX,America/Chicago
AGS,America/New_York
ALB,America/New_York
AMA,America/Chicago
ANC,America/Anchorage
ASE,America/Denver
ATL,America/New_York
ATW,America/Chicago
AUS,America/Chicago
AVL,America/New_York
AVP,America/New_York
AZA,America/Phoenix
BDL,America/New_York
BET,America/Anchorage
BFL,America/Los_Angeles
BGM,America/New_York
BGR,America/New_York
BHM,America/Chicago
BIL,America/Denver
BIS,America/Chicago
BLI,America/Los_Angeles
BMI,America/Chicago
BNA,America/Chicago
BOI,America/Boise
BOS,America/New_York
BPT,America/Chicago
BQK,America/New_York
BQN,America/Puerto_Rico
BRO,America/Chicago
BRW,America/Anchorage
BTM,America/Denver
BTR,America/Chicago
BTV,America/New_York
BUF,America/New_York
BUR,America/Los_Angeles
BWI,America/New_York
BZN,America/Denver
CAE,America/New_York
CAK,America/New_York
CDC,America/Denver
CDV,America/Anchorage
CHA,America/New_York
CHO,America/New_York
CHS,America/New_York
CID,America/Chicago
CIU,America/Detroit
CKB,America/New_York
CLE,America/New_York
CLL,America/Chicago
CLT,America/New_York
CMH,America/New_York
CMI,America/Chicago
COS,America/Denver
COU,America/Chicago
CPR,America/Denver
CRP,America/Chicago
CRW,America/New_York
CSG,America/New_York
CVG,America/New_York
CWA,America/Chicago
DAB,America/New_York
DAL,America/Chicago
DAY,America/New_York
DBQ,America/Chicago
DCA,America/New_York
DEN,America/Denver
DFW,America/Chicago
DHN,America/Chicago
DIK,America/Denver
DLH,America/Chicago
DRO,America/Denver
DSM,America/Chicago
DTW,America/Detroit
EAU,America/Chicago
ECP,America/Chicago
EGE,America/Denver
ELM,America/New_York
ELP,America/Denver
ERI,America/New_York
ESC,America/Detroit
EUG,America/Los_Angeles
EVV,America/Chicago
EWN,America/New_York
EWR,America/New_York
EYW,America/New_York
FAI,America/Anchorage
FAR,America/Chicago
FAT,America/Los_Angeles
FAY,America/New_York
FLG,America/Phoenix
FLL,America/New_York
FNT,America/Detroit
FSD,America/Chicago
FSM,America/Chicago
FWA,America/Indiana/Indianapolis
GCC,America/Denver
GEG,America/Los_Angeles
GFK,America/Chicago
GGG,America/Chicago
GJT,America/Denver
GNV,America/New_York
GPT,America/Chicago
GRB,America/Chicago
GRI,America/Chicago
GRK,America/Chicago
GRR,America/Detroit
GSO,America/New_York
GSP,America/New_York
GTF,America/Denver
GTR,America/Chicago
GUC,America/Denver
HDN,America/Denver
HIB,America/Chicago
HLN,America/Denver
HNL,Pacific/Honolulu
HOB,America/Denver
HOU,America/Chicago
HPN,America/New_York
HRL,America/Chicago
HSV,America/Chicago
HTS,America/New_York
HVN,America/New_York
IAD,America/New_York
IAH,America/Chicago
ICT,America/Chicago
IDA,America/Boise
ILM,America/New_York
IND,America/Indiana/Indianapolis
INL,America/Chicago
ISP,America/New_York
ITH,America/New_York
ITO,Pacific/Honolulu
JAC,America/Denver
JAN,America/Chicago
JAX,America/New_York
JFK,America/New_York
JLN,America/Chicago
JMS,America/Chicago
JNU,America/Juneau
KOA,Pacific/Honolulu
KTN,America/Metlakatla
LAN,America/Detroit
LAS,America/Los_Angeles
LAW,America/Chicago
LAX,America/Los_Angeles
LBB,America/Chicago
LBE,America/New_York
LCH,America/Chicago
LEX,America/New_York
LFT,America/Chicago
LGA,America/New_York
LGB,America/Los_Angeles
LIH,Pacific/Honolulu
LIT,America/Chicago
LNK,America/Chicago
LRD,America/Chicago
LSE,America/Chicago
MAF,America/Chicago
MBS,America/Detroit
MCI,America/Chicago
MCO,America/New_York
MDT,America/New_York
MDW,America/Chicago
MEI,America/Chicago
MEM,America/Chicago
MFE,America/Chicago
MFR,America/Los_Angeles
MGM,America/Chicago
MHK,America/Chicago
MHT,America/New_York
MIA,America/New_York
MKE,America/Chicago
MLB,America/New_York
MLI,America/Chicago
MLU,America/Chicago
MOB,America/Chicago
MOT,America/Chicago
MQT,America/Detroit
MRY,America/Los_Angeles
MSN,America/Chicago
MSO,America/Denver
MSP,America/Chicago
MSY,America/Chicago
MTJ,America/Denver
MVY,America/New_York
MYR,America/New_York
OAJ,America/New_York
OAK,America/Los_Angeles
OGG,Pacific/Honolulu
OKC,America/Chicago
OMA,America/Chicago
OME,America/Nome
ONT,America/Los_Angeles
ORD,America/Chicago
ORF,America/New_York
ORH,America/New_York
OTH,America/Los_Angeles
OTZ,America/Nome
PAE,America/Los_Angeles
PBG,America/New_York
PBI,America/New_York
PDX,America/Los_Angeles
PGD,America/New_York
PHF,America/New_York
PHL,America/New_York
PHX,America/Phoenix
PIA,America/Chicago
PIB,America/Chicago
PIE,America/New_York
PIH,America/Boise
PIT,America/New_York
PLN,America/Detroit
PNS,America/Chicago
PSC,America/Los_Angeles
PSG,America/Juneau
PSP,America/Los_Angeles
PVD,America/New_York
PWM,America/New_York
RAP,America/Denver
RDD,America/Los_Angeles
RDM,America/Los_Angeles
RDU,America/New_York
RFD,America/Chicago
RIC,America/New_York
RIW,America/Denver
RNO,America/Los_Angeles
ROA,America/New_York
ROC,America/New_York
ROW,America/Denver
RST,America/Chicago
RSW,America/New_York
SAF,America/Denver
SAN,America/Los_Angeles
SAT,America/Chicago
SAV,America/New_York
SBA,America/Los_Angeles
SBN,America/Indiana/Indianapolis
SBP,America/Los_Angeles
SCC,America/Anchorage
SCE,America/New_York
SCK,America/Los_Angeles
SDF,America/Kentucky/Louisville
SEA,America/Los_Angeles
SFB,America/New_York
SFO,America/Los_Angeles
SGF,America/Chicago
SGU,America/Denver
SHV,America/Chicago
SIT,America/Sitka
SJC,America/Los_Angeles
SJT,America/Chicago
SJU,America/Puerto_Rico
SLC,America/Denver
SMF,America/Los_Angeles
SMX,America/Los_Angeles
SNA,America/Los_Angeles
SPI,America/Chicago
SPS,America/Chicago
SRQ,America/New_York
STC,America/Chicago
STL,America/Chicago
STS,America/Los_Angeles
STT,America/St_Thomas
STX,America/St_Thomas
SUN,America/Boise
SUX,America/Chicago
SWF,America/New_York
SYR,America/New_York
TLH,America/New_York
TOL,America/New_York
TPA,America/New_York
TRI,America/New_York
TTN,America/New_York
TUL,America/Chicago
TUS,America/Phoenix
TVC,America/Detroit
TWF,America/Boise
TXK,America/Chicago
TYR,America/Chicago
TYS,America/New_York
VLD,America/New_York
VPS,America/Chicago
WRG,America/Sitka
XNA,America/Chicago
YAK,America/Yakutat
YKM,America/Los_Angeles
YUM,America/Phoenix
